PICAN_0088_07610	28ed6114503eb98854cca66f92f38a15	845	PANTHER	PTHR11254:SF347		250	845	2.4E-226	T	02-05-2018			
PICAN_0088_07610	28ed6114503eb98854cca66f92f38a15	845	PANTHER	PTHR11254:SF347		34	200	2.4E-226	T	02-05-2018			
PICAN_0088_07610	28ed6114503eb98854cca66f92f38a15	845	MobiDBLite	mobidb-lite	consensus disorder prediction	283	383	-	T	02-05-2018			
PICAN_0088_07610	28ed6114503eb98854cca66f92f38a15	845	PIRSF	PIRSF001569		26	845	0	T	02-05-2018	IPR024928	E3 ubiquitin-protein ligase, SMURF1 type	GO:0006511|GO:0061630
PICAN_0088_07610	28ed6114503eb98854cca66f92f38a15	845	SMART	SM00456		424	456	2.7E-13	T	02-05-2018	IPR001202	WW domain	GO:0005515
PICAN_0088_07610	28ed6114503eb98854cca66f92f38a15	845	SMART	SM00456		260	292	1.3E-12	T	02-05-2018	IPR001202	WW domain	GO:0005515
PICAN_0088_07610	28ed6114503eb98854cca66f92f38a15	845	SMART	SM00456		364	396	2.9E-13	T	02-05-2018	IPR001202	WW domain	GO:0005515
PICAN_0088_07610	28ed6114503eb98854cca66f92f38a15	845	SUPERFAMILY	SSF51045		416	458	4.03E-14	T	02-05-2018	IPR036020	WW domain superfamily	GO:0005515
PICAN_0088_07610	28ed6114503eb98854cca66f92f38a15	845	ProSiteProfiles	PS50020	WW/rsp5/WWP domain profile.	423	456	18.421	T	02-05-2018	IPR001202	WW domain	GO:0005515
PICAN_0088_07610	28ed6114503eb98854cca66f92f38a15	845	MobiDBLite	mobidb-lite	consensus disorder prediction	164	267	-	T	02-05-2018			
PICAN_0088_07610	28ed6114503eb98854cca66f92f38a15	845	ProSiteProfiles	PS50237	HECT domain profile.	512	845	116.153	T	02-05-2018	IPR000569	HECT domain	GO:0004842
PICAN_0088_07610	28ed6114503eb98854cca66f92f38a15	845	Pfam	PF00168	C2 domain	40	128	1E-18	T	02-05-2018	IPR000008	C2 domain	
PICAN_0088_07610	28ed6114503eb98854cca66f92f38a15	845	ProSitePatterns	PS01159	WW/rsp5/WWP domain signature.	369	394	-	T	02-05-2018	IPR001202	WW domain	GO:0005515
PICAN_0088_07610	28ed6114503eb98854cca66f92f38a15	845	ProSiteProfiles	PS50004	C2 domain profile.	40	123	14.482	T	02-05-2018	IPR000008	C2 domain	
PICAN_0088_07610	28ed6114503eb98854cca66f92f38a15	845	SMART	SM00119		510	845	5.3E-183	T	02-05-2018	IPR000569	HECT domain	GO:0004842
